Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,56,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,71,*,Unofficial figure
TM,Detailed trade matrix,1,Armenia,41,"China, mainland",5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,12,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,8,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,25,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,8,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,3,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,2,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,21,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,6,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,3,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,19,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,10,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,56,,Official data
TM,Detailed trade matrix,1,Armenia,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,101,Indonesia,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",1999,1999,tonnes,38,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2000,2000,tonnes,143,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2001,2001,tonnes,68,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2002,2002,tonnes,21,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2004,2004,tonnes,162,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,918,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,697,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,525,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,72,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,307,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,926,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,275,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,563,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,790,,Official data
