Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,1,Armenia,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,7,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,44,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",1999,1999,tonnes,8,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,668,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2000,2000,tonnes,4,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,3,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,1,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5910,Export Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5910,Export Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5910,Export Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,1,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,176,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,1390,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,1298,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,1717,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,1666,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,3,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,29,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,74,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,14,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,6,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,182,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,19,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,21,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,9,,Official data
TM,Detailed trade matrix,52,Azerbaijan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,3,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",1999,1999,tonnes,1,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2001,2001,tonnes,48,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,13,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,22,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,631,,Official data
